"filename", "language", "TypeScript", "TypeScript JSX", "JSON", "HTML", "XML", "PostCSS", "Markdown", "JavaScript", "YAML", "Log", "JSON with Comments", "Ini", "PowerShell", "MS SQL", "Dotenv", "comment", "blank", "total"
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\hooks\useProductTypes.ts", "TypeScript", 103, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 112
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\hooks\useProduction.ts", "TypeScript", 660, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 35, 722
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\hooks\useProductionSettings.ts", "TypeScript", 168, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 16, 185
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\hooks\usePurchaseOrders.ts", "TypeScript", 185, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 198
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\hooks\useQuoteWorkflowState.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 26
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\hooks\useRuntimeEnvironment.ts", "TypeScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 41
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\hooks\useShipments.ts", "TypeScript", 137, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 13, 157
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\hooks\useSmartBack.ts", "TypeScript", 39, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 49
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\hooks\useStationPrinter.ts", "TypeScript", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 8, 68
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\hooks\useStorageSettings.ts", "TypeScript", 224, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 245
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\hooks\useTableColumnConfig.ts", "TypeScript", 55, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 10, 66
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\hooks\useTheme.tsx", "TypeScript JSX", 0, 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 11, 94
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\hooks\useUserPreferences.ts", "TypeScript", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 14, 63
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\hooks\useVendors.ts", "TypeScript", 119, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 128
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\index.css", "PostCSS", 0, 0, 0, 0, 0, 350, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 87, 462
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\__tests__\productionHelpers.test.ts", "TypeScript", 92, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 22, 126
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\apiConfig.ts", "TypeScript", 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 31, 163
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\api\me.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 8, 49
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\api\platform.ts", "TypeScript", 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 15, 118
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\appEnv.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 7, 52
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\assetUrlCache.ts", "TypeScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 7, 58
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\attachmentViewer.ts", "TypeScript", 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 87
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\attachments.ts", "TypeScript", 54, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 18, 107
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\attachments\attachmentStatus.ts", "TypeScript", 89, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 26, 158
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\attachments\orderFileRows.ts", "TypeScript", 99, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 12, 111
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\attachments\quoteLineItemRows.ts", "TypeScript", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 65
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\authUtils.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\branding.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 12
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\config\storage.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 15
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\downloadFile.ts", "TypeScript", 117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 23, 22, 162
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\fileUtils.ts", "TypeScript", 61, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 14, 100
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\getThumbSrc.ts", "TypeScript", 71, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 20, 113
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\lineItems\lineItemDerivation.ts", "TypeScript", 83, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16, 101
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\materialWeightDisplay.test.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 32
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\materialWeightDisplay.ts", "TypeScript", 37, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 44
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\nav.ts", "TypeScript", 64, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 5, 73
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\nav\browserRouterSync.test.ts", "TypeScript", 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 22
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\nav\browserRouterSync.ts", "TypeScript", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 53
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\nav\smartBack.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 41
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\optionChoiceValidation.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 26
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\optionTreeV2PricingCodec.ts", "TypeScript", 133, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 13, 166
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\orderProofUi.ts", "TypeScript", 33, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 35
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\orderUtils.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 8, 56
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\pbv2Utils.ts", "TypeScript", 131, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 28, 178
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\pbv2\currency.ts", "TypeScript", 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 30
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\pbv2\pbv2Outputs.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 12
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\pbv2\pbv2ViewModel.ts", "TypeScript", 1408, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 292, 257, 1957
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\pbv2\pricing\geometryWarning.ts", "TypeScript", 58, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 72
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\pbv2\pricing\previewError.ts", "TypeScript", 390, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 79, 46, 515
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\pbv2\pricing\pricingImpact.ts", "TypeScript", 252, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 47, 39, 338
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\pbv2\pricing\pricingVariableCatalog.ts", "TypeScript", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 77
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\pdfUrls.ts", "TypeScript", 46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 12, 75
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\pricingFormulaSelection.ts", "TypeScript", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 50
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\productionBoard.ts", "TypeScript", 116, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 138
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\productionHelpers.ts", "TypeScript", 90, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 26, 16, 132
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\proofingNavigation.ts", "TypeScript", 70, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 86
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\proofingQueueControls.ts", "TypeScript", 78, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 91
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\proofingRecovery.test.ts", "TypeScript", 44, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 51
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\proofingRecovery.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\queryClient.ts", "TypeScript", 77, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 14, 96
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\sanitizeDisplayText.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 6, 47
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\stripeClient.ts", "TypeScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 6, 38
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\tests\optionTreeV2PricingCodec.test.ts", "TypeScript", 76, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 91
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\tests\pbv2Currency.test.ts", "TypeScript", 75, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16, 94
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\tests\pbv2Utils.test.ts", "TypeScript", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 83
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\tests\pbv2ViewModel.choiceCascade.test.ts", "TypeScript", 138, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 16, 156
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\tests\pbv2ViewModel.reorder.test.ts", "TypeScript", 84, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 98
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\tests\pbv2ViewModel.textInput.test.ts", "TypeScript", 80, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 89
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\tests\previewError.test.ts", "TypeScript", 265, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 31, 298
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\tests\pricingFormulaSelection.test.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 28
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\tests\pricingImpact.test.ts", "TypeScript", 218, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 250
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\ticketPrintOverrides.test.ts", "TypeScript", 101, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14, 115
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\ticketPrintOverrides.ts", "TypeScript", 100, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 14, 146
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\ticketRender.test.ts", "TypeScript", 40, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 47
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\ticketRender.ts", "TypeScript", 32, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 18, 6, 56
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\ticketSettings.ts", "TypeScript", 50, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 11, 80
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\ui\persistExpandedLineItem.ts", "TypeScript", 34, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 29, 5, 68
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\ui\persistScrollPosition.ts", "TypeScript", 26, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 22, 5, 53
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\uploads\chunkedAttachmentUpload.ts", "TypeScript", 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 128
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\uploads\fileToBase64.ts", "TypeScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5, 26
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\utils.ts", "TypeScript", 28, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 44
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\lib\viewUrlForIframe.ts", "TypeScript", 41, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 13, 70
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\main.tsx", "TypeScript JSX", 0, 51, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 64
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\pages\ApprovalsPage.tsx", "TypeScript JSX", 0, 309, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 15, 329
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\pages\DesignProductionPage.tsx", "TypeScript JSX", 0, 1328, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 107, 1436
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\pages\PrepressProductionPage.tsx", "TypeScript JSX", 0, 440, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 21, 29, 490
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\pages\PrepressProductionPageV2.tsx", "TypeScript JSX", 0, 2063, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 142, 2240
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\pages\ProductEditorPage.tsx", "TypeScript JSX", 0, 1043, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 65, 109, 1217
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\pages\SelectOrgPage.tsx", "TypeScript JSX", 0, 107, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 11, 120
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\pages\StaffProofingPage.tsx", "TypeScript JSX", 0, 2117, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 151, 2293
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\pages\accept-invite.tsx", "TypeScript JSX", 0, 231, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 25, 30, 286
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\pages\admin-dashboard.tsx", "TypeScript JSX", 0, 4, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 6
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\pages\admin-users.tsx", "TypeScript JSX", 0, 393, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 413
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\pages\admin.tsx", "TypeScript JSX", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 51
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\pages\admin\BugReportsPage.tsx", "TypeScript JSX", 0, 523, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 47, 587
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\pages\admin\MaterialsImportExport.tsx", "TypeScript JSX", 0, 894, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 65, 1003
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\pages\admin\PricingAuditPage.tsx", "TypeScript JSX", 0, 804, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 34, 47, 885
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\pages\admin\ProductImportExport.tsx", "TypeScript JSX", 0, 447, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 17, 29, 493
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\pages\admin\QBCustomerInspectorPage.tsx", "TypeScript JSX", 0, 399, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 30, 36, 465
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\pages\admin\QBInvoiceInspectorPage.tsx", "TypeScript JSX", 0, 473, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 32, 43, 548
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\pages\audit-logs.tsx", "TypeScript JSX", 0, 295, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22, 319
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\pages\byos.tsx", "TypeScript JSX", 0, 332, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 347
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\pages\company-settings.tsx", "TypeScript JSX", 0, 272, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 23, 298
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\pages\contact-detail.tsx", "TypeScript JSX", 0, 805, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 44, 53, 902
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\pages\contacts.tsx", "TypeScript JSX", 0, 676, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 20, 29, 725
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\pages\create-order.tsx", "TypeScript JSX", 0, 72, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 81
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\pages\create-quote.tsx", "TypeScript JSX", 0, 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 5, 81
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\pages\customer-detail-enhanced.tsx", "TypeScript JSX", 0, 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 6, 40
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\pages\customer-detail.tsx", "TypeScript JSX", 0, 656, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 37, 699
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\pages\customer-quotes.tsx", "TypeScript JSX", 0, 250, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 18, 269
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\pages\customers.tsx", "TypeScript JSX", 0, 243, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 30, 310
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\pages\debug-user.tsx", "TypeScript JSX", 0, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 50
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\pages\dev\DevLineItemRowEnterprisePreview.tsx", "TypeScript JSX", 0, 143, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 162
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\pages\edit-quote.tsx", "TypeScript JSX", 0, 1057, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 75, 1175
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\pages\finance.tsx", "TypeScript JSX", 0, 17, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 19
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\pages\force-password-change.tsx", "TypeScript JSX", 0, 128, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 16, 147
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\pages\forgot-password.tsx", "TypeScript JSX", 0, 173, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 14, 189
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\pages\fulfillment-shipment-detail.tsx", "TypeScript JSX", 0, 665, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 54, 719
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\pages\fulfillment.tsx", "TypeScript JSX", 0, 433, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 470
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\pages\home.tsx", "TypeScript JSX", 0, 315, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 22, 343
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\pages\inbound-orders.tsx", "TypeScript JSX", 0, 2862, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 220, 3082
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\pages\internal-quotes.tsx", "TypeScript JSX", 0, 1458, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 43, 126, 1627
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\pages\invoice-detail.tsx", "TypeScript JSX", 0, 2275, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 19, 197, 2491
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\pages\invoices.tsx", "TypeScript JSX", 0, 239, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19, 262
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\pages\job-detail.tsx", "TypeScript JSX", 0, 254, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 15, 20, 289
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\pages\labels.tsx", "TypeScript JSX", 0, 25, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 27
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\pages\landing.tsx", "TypeScript JSX", 0, 437, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 36, 473
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\pages\login.tsx", "TypeScript JSX", 0, 185, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 18, 208
"c:\Users\dale9\Downloads\QuoteVaultPro\client\src\pages\material-detail.tsx", "TypeScript JSX", 0, 165, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 10, 178
